2-THETA;INTENSITY
17.74;12.39 
21.30;100.00 
26.36;10.64 
33.22;41.85 
34.62;27.55 
35.50;4.99 
35.92;13.45 
36.66;77.80 
39.26;4.18 
39.95;10.02 
40.32;1.76 
41.11;14.63 
43.38;1.94 
45.00;3.60 
47.13;6.25 
50.73;10.51 
51.40;1.87 
53.32;34.99 
54.26;11.46 
55.10;4.02 
57.46;7.37 
58.87;24.44 
61.18;10.73 
61.50;4.39 
62.96;3.12 
63.60;4.84 
63.73;11.23 
65.55;6.14 
67.34;5.57 
67.78;1.04 
68.73;3.39 
68.83;6.39 
69.46;1.95 
69.73;2.17 
71.41;7.10 
71.63;1.59 
73.03;2.76 
75.14;1.33 
75.18;2.34 
76.38;2.33 
80.06;3.47 
83.70;2.44 
85.10;2.99 
86.20;4.33 
86.24;1.53 
86.89;1.63 
89.22;1.17 
